t,count,max,mean,min,stddev,p50,p75,p95,p99,p999,metricName,pkRangeId
1657818569207,983,10502.499755859375,33.76676622703141,6.0,342.6963083563418,12.000244140625,15.000244140625,41.001708984375,233.007568359375,10502.499755859375,receivedLatency,11
1657818569207,3308,1537.062255859375,17.884305905546213,5.0,45.483381814277664,12.000244140625,15.000244140625,38.001708984375,90.003662109375,1537.062255859375,receivedLatency,12
1657818569207,1089,4124.249755859375,31.69216691955062,5.0,180.91874449237127,12.000244140625,15.000244140625,34.001708984375,333.015380859375,4124.249755859375,receivedLatency,13
1657818569207,4722,11642.499755859375,19.05145421365417,5.0,177.7129448232346,12.000244140625,14.000244140625,31.000732421875,60.001708984375,11642.499755859375,receivedLatency,14
1657818569207,3392,3196.124755859375,18.840918630923866,5.0,70.84884593071384,12.000244140625,15.000244140625,35.001708984375,102.003662109375,3196.124755859375,receivedLatency,15
1657818569207,2303,2361.124755859375,19.2301258082189,5.0,75.55574196950779,12.000244140625,15.000244140625,34.001708984375,147.007568359375,2361.124755859375,receivedLatency,16
1657818569207,3455,2948.124755859375,18.599247580499277,5.0,73.79626662476613,12.000244140625,14.000244140625,33.001708984375,127.003662109375,2948.124755859375,receivedLatency,0
1657818569207,1067,7270.249755859375,32.82452283893217,5.0,276.3055501451999,12.000244140625,14.000244140625,36.001708984375,221.007568359375,7270.249755859375,receivedLatency,1
1657818569207,1490,11019.499755859375,35.29336134123322,5.0,381.2921711371942,12.000244140625,14.000244140625,33.001708984375,146.007568359375,11019.499755859375,receivedLatency,2
1657818569207,797,10733.499755859375,45.40246536082575,5.0,423.169893653067,12.000244140625,16.000732421875,73.003662109375,244.007568359375,10733.499755859375,receivedLatency,3
1657818569207,3189,5814.249755859375,19.42845263380958,5.0,121.57167938477214,12.000244140625,14.000244140625,30.000732421875,94.003662109375,5814.249755859375,receivedLatency,4
1657818569207,1759,4639.249755859375,31.34918702143441,5.0,181.23983274944106,14.000244140625,25.000732421875,44.001708984375,160.007568359375,4639.249755859375,receivedLatency,5
1657818569207,2367,1717.062255859375,22.498166212010194,5.0,53.928692678300926,13.000244140625,17.000732421875,61.001708984375,161.007568359375,1717.062255859375,receivedLatency,6
1657818569207,1420,1849.062255859375,18.924347697513205,6.0,60.61434785691941,12.000244140625,15.000244140625,33.001708984375,174.007568359375,1849.062255859375,receivedLatency,7
1657818569207,1495,3888.124755859375,22.323550506897995,5.0,115.03374772665018,12.000244140625,15.000244140625,35.001708984375,161.007568359375,3888.124755859375,receivedLatency,8
1657818569207,8257,4684.249755859375,16.201635408072317,5.0,70.77106321371623,12.000244140625,15.000244140625,32.001708984375,46.001708984375,4684.249755859375,receivedLatency,9
1657818569207,1570,3980.124755859375,18.66281473925159,5.0,102.48889428754462,12.000244140625,14.000244140625,32.001708984375,165.007568359375,3980.124755859375,receivedLatency,10
1657818629207,656,107.003662109375,13.250290661323362,5.0,6.554446288174741,12.000244140625,14.000244140625,26.000732421875,35.001708984375,107.003662109375,receivedLatency,11
1657818629207,662,54.001708984375,13.155877150797773,5.0,5.909443366682064,12.000244140625,14.000244140625,28.000732421875,37.001708984375,54.001708984375,receivedLatency,12
1657818629207,300,45.001708984375,13.316958821614584,6.0,5.262224832889319,12.000244140625,14.000244140625,26.000732421875,33.001708984375,45.001708984375,receivedLatency,13
1657818629207,881,69.003662109375,13.058175025273128,5.0,5.91075652429122,12.000244140625,14.000244140625,25.000732421875,38.001708984375,69.003662109375,receivedLatency,14
1657818629207,1604,83.003662109375,13.528973738748832,6.0,6.596542250058426,12.000244140625,14.000244140625,27.000732421875,39.001708984375,83.003662109375,receivedLatency,15
1657818629207,202,36.001708984375,12.633934096534654,5.0,4.813935564725595,12.000244140625,14.000244140625,22.000732421875,33.001708984375,36.001708984375,receivedLatency,16
1657818629207,1199,54.001708984375,13.197954268531067,5.0,5.859076784616949,12.000244140625,14.000244140625,27.000732421875,38.001708984375,54.001708984375,receivedLatency,0
1657818629207,499,84.003662109375,13.088457187813127,5.0,6.571500358126826,12.000244140625,14.000244140625,28.000732421875,38.001708984375,84.003662109375,receivedLatency,1
1657818629207,814,50.001708984375,12.946230276796683,5.0,5.617726631448377,12.000244140625,13.000244140625,26.000732421875,35.001708984375,50.001708984375,receivedLatency,2
1657818629207,405,67.003662109375,13.062011115933641,5.0,6.00661684012675,12.000244140625,13.000244140625,26.000732421875,34.001708984375,67.003662109375,receivedLatency,3
1657818629207,757,72.003662109375,12.958013617693197,6.0,5.285720794325568,12.000244140625,13.000244140625,24.000732421875,33.001708984375,72.003662109375,receivedLatency,4
1657818629207,514,2521.124755859375,18.35644436253648,5.0,110.6996170153335,12.000244140625,14.000244140625,29.000732421875,45.001708984375,2521.124755859375,receivedLatency,5
1657818629207,793,53.001708984375,13.700172222276954,6.0,6.1978747909714365,12.000244140625,14.000244140625,28.000732421875,43.001708984375,53.001708984375,receivedLatency,6
1657818629207,657,59.001708984375,13.668487502378234,5.0,6.6863922529420154,12.000244140625,14.000244140625,30.000732421875,44.001708984375,59.001708984375,receivedLatency,7
1657818629207,704,62.001708984375,13.704839879816229,5.0,6.291884026238114,12.000244140625,14.000244140625,29.000732421875,38.001708984375,62.001708984375,receivedLatency,8
1657818629207,1612,54.001708984375,13.412203123788384,4.0,5.918027854639427,12.000244140625,14.000244140625,27.000732421875,39.001708984375,54.001708984375,receivedLatency,9
1657818629207,573,50.001708984375,13.434849391224914,5.0,6.576705904964544,12.000244140625,14.000244140625,29.000732421875,43.001708984375,50.001708984375,receivedLatency,10
