t,count,max,mean,min,stddev,p50,p75,p95,p99,p999,metricName,pkRangeId
1657818689207,1356,22642.75,12320.111356932153,4579.0,2558.637131471713,11546.25,13723.25,17578.75,19646.75,22642.75,transitTimeLatency,15
1657818689207,117,18183.75,10871.559829059828,4478.0,2012.9576643303492,10778.25,11420.25,13491.25,17700.75,18183.75,transitTimeLatency,16
1657818689207,1434,32261.75,12455.013598326359,5030.0,3008.617460570221,11450.25,13480.25,18525.75,22947.75,32261.75,transitTimeLatency,0
1657818689207,423,33907.75,13206.293735224586,4115.0,3121.42945620073,12450.25,14689.25,18544.75,23861.75,33907.75,transitTimeLatency,1
1657818689207,899,24898.75,12764.555339265851,4398.0,2826.8601930086447,12016.25,14013.25,18239.75,22454.75,24898.75,transitTimeLatency,2
1657818689207,339,21145.75,11674.977876106195,4647.0,2087.3430583853697,11053.25,12418.25,15921.25,20446.75,21145.75,transitTimeLatency,3
1657818689207,750,23854.75,12857.836,4726.0,2825.719670179143,12264.25,14488.25,18390.75,20566.75,23854.75,transitTimeLatency,4
1657818689207,635,22261.75,11833.215748031496,4514.0,2129.0362462167614,11171.25,12803.25,16214.25,18939.75,22261.75,transitTimeLatency,5
1657818689207,870,24918.875,13001.91235632184,4084.0,2948.472562863103,12385.375,14542.375,18737.875,20950.875,24918.875,transitTimeLatency,6
1657818689207,553,22388.75,11921.636075949367,4982.0,2390.2546546552053,11176.25,12955.25,17022.75,20707.75,22388.75,transitTimeLatency,7
1657818689207,619,28748.75,12554.459612277868,4188.0,2846.094305185083,11859.25,13885.25,17932.75,21392.75,28748.75,transitTimeLatency,8
1657818689207,1558,29960.75,12591.874358151475,4297.0,2651.2075904311537,11982.25,13788.25,17806.75,21233.75,29960.75,transitTimeLatency,9
1657818689207,427,23554.75,12675.79918032787,5025.0,2747.599581419722,11662.25,14193.25,18298.75,20473.75,23554.75,transitTimeLatency,10
1657818749207,393,53093.75,13969.68893129771,4468.0,8636.986664306041,11465.25,13361.25,38965.75,50895.75,53093.75,transitTimeLatency,11
1657818749207,710,24492.75,12024.303169014085,4628.0,2155.896893375636,11483.25,13149.25,16036.25,18488.75,24492.75,transitTimeLatency,12
1657818749207,394,23961.75,13013.60342639594,4686.0,3230.2660561806483,12158.25,14415.25,20156.75,23225.75,23961.75,transitTimeLatency,13
1657818749207,1022,25859.75,13073.238502935421,4758.0,3208.250908220134,12066.25,14509.25,19917.75,23434.75,25859.75,transitTimeLatency,14
1657818749207,995,31845.875,12247.684422110553,4089.0,2907.057906406759,11317.375,13189.375,17659.875,25149.875,31845.875,transitTimeLatency,15
1657818749207,186,20929.75,11915.627688172042,4523.0,2271.696468483158,11553.25,12959.25,15928.25,20565.75,20929.75,transitTimeLatency,16
1657818749207,1305,25768.75,12582.918199233716,4623.0,2844.3552900033983,11754.25,13771.25,18399.75,22253.75,25768.75,transitTimeLatency,0
1657818749207,470,22349.75,13039.646276595744,4291.0,2911.1029306579103,12270.25,14320.25,19035.75,21010.75,22349.75,transitTimeLatency,1
1657818749207,595,22936.75,12964.481512605042,4335.0,3004.045462476326,12298.25,14702.25,18556.75,21286.75,22936.75,transitTimeLatency,2
1657818749207,667,25605.75,12335.871064467767,4263.0,3250.2366124597506,11346.25,12971.25,21154.75,24269.75,25605.75,transitTimeLatency,3
1657818749207,584,20513.75,12415.743150684932,4784.0,2390.312787687819,11936.25,13738.25,17056.75,18722.75,20513.75,transitTimeLatency,4
1657818749207,719,45023.75,12355.121349095967,4731.0,3746.892346982301,11431.25,13024.25,17123.75,29381.75,45023.75,transitTimeLatency,5
1657818749207,966,24222.875,13115.27316252588,4015.0,3037.34557092224,12581.375,14768.375,19059.875,21022.875,24222.875,transitTimeLatency,6
1657818749207,480,22183.75,11808.5921875,4152.0,2160.4341567838474,11132.25,12670.25,16361.25,19038.75,22183.75,transitTimeLatency,7
