t,count,max,mean,min,stddev,p50,p75,p95,p99,p999,metricName,pkRangeId
1657818689207,1434,21506.875,5925.154637377964,2955.0,2813.013384322381,4770.125,5744.125,12357.375,15864.375,21506.875,backendLatency,0
1657818689207,423,18507.875,7135.625295508275,3302.0,4015.7978538562247,4727.125,10408.375,15039.375,17714.875,18507.875,backendLatency,1
1657818689207,899,24237.875,6446.977196885428,2941.0,3639.066789481212,4586.125,8894.375,13580.375,19697.875,24237.875,backendLatency,2
1657818689207,339,19835.875,5921.157817109144,3235.0,2940.1503666236244,4585.125,7470.125,11839.375,15722.375,19835.875,backendLatency,3
1657818689207,750,20844.875,7272.552833333333,3228.0,3992.04516634074,4788.125,10249.375,15455.375,18216.875,20844.875,backendLatency,4
1657818689207,635,15710.375,5217.311614173228,3299.0,2216.9002446995164,4440.125,4992.125,10318.375,12968.375,15710.375,backendLatency,5
1657818689207,870,21088.875,7928.4477011494255,3170.0,4366.688199239431,5706.125,11116.375,16651.875,20046.875,21088.875,backendLatency,6
1657818689207,553,14337.375,5099.187386980108,2859.0,2147.6433784466644,4401.125,4800.125,10148.375,13911.375,14337.375,backendLatency,7
1657818689207,619,21293.875,6947.9610258481425,3369.0,3964.5829995320187,4579.125,10076.375,15070.375,17813.875,21293.875,backendLatency,8
1657818689207,1558,22372.875,6297.472881899872,3086.0,3386.2323114067585,4628.125,7177.125,13417.375,18175.875,22372.875,backendLatency,9
1657818689207,427,17936.875,6686.287763466042,3403.0,3501.9220812122007,4777.125,9179.375,14103.375,17165.875,17936.875,backendLatency,10
1657818749207,393,18709.875,5926.949745547074,3500.0,2694.2087718565044,4652.125,6514.125,11009.375,15635.375,18709.875,backendLatency,11
1657818749207,710,17434.875,5794.172183098592,3153.0,2844.5292400982194,4465.125,7086.125,11994.375,14379.375,17434.875,backendLatency,12
1657818749207,394,23251.875,7725.697969543147,3273.0,4080.050438532575,5804.125,10395.375,14891.375,21116.875,23251.875,backendLatency,13
1657818749207,1022,23863.875,6548.447284735812,3059.0,3918.9858149147503,4686.125,7582.125,15073.375,20163.875,23863.875,backendLatency,14
1657818749207,995,19264.875,5791.702386934673,3308.0,2882.8031045900666,4740.125,5767.125,12736.375,16499.875,19264.875,backendLatency,15
1657818749207,186,15203.375,6771.360215053764,3604.0,2915.1231335952166,5291.125,9303.375,12095.375,15182.375,15203.375,backendLatency,16
1657818749207,1305,24270.875,6204.201149425287,2996.0,3232.3297628332907,4769.125,6984.125,13201.375,17618.875,24270.875,backendLatency,0
1657818749207,470,20462.875,7610.659042553191,3159.0,4234.126013450388,4995.125,10408.375,15895.375,19718.875,20462.875,backendLatency,1
1657818749207,595,22056.875,7362.052100840336,3189.0,4367.926542212891,4880.125,10354.375,16430.875,19947.875,22056.875,backendLatency,2
1657818749207,667,24714.875,5915.795164917541,2985.0,3096.2129556664263,4597.125,6525.125,11673.375,15747.375,24714.875,backendLatency,3
1657818749207,584,18987.875,7248.292594178082,3510.0,3544.655477364528,4990.125,9804.375,14108.375,17341.875,18987.875,backendLatency,4
1657818749207,719,40481.875,5608.283727399165,3319.0,2981.6301203873804,4490.125,5450.125,11499.375,15600.375,40481.875,backendLatency,5
